#{"t_start": 1637035597.261235, "env_id": "MountainCarContinuous-v0"}
r,l,t
-49.415376,999,1.387932
74.547787,524,1.744278
-50.062314,999,2.559156
-50.193724,999,3.239461
-45.131954,999,3.837813
-46.324426,999,4.490829
-45.453503,999,5.114479
-41.515687,999,5.692113
-40.012311,999,6.311411
-35.445202,999,7.067202
-32.39154,999,7.786234
-28.636129,999,8.426886
-26.404093,999,9.002463
-23.888852,999,9.68482
-21.703686,999,10.323691
-18.787847,999,10.961457
-17.936,999,11.623675
-15.928797,999,12.257493
-14.986155,999,12.869319
-13.096806,999,13.493806
-12.610847,999,14.100499
-10.883068,999,14.670778
-10.699932,999,15.2821
-9.536547,999,15.886281
-8.714077,999,16.541723
-8.110807,999,17.160929
-8.396088,999,17.796897
-7.841179,999,18.429334
-7.355228,999,19.240703
-7.091862,999,19.905387
-6.657701,999,20.520761
-6.938687,999,21.147186
-6.085062,999,22.02386
-6.285506,999,23.013985
-5.804757,999,23.974668
-5.872339,999,24.869411
-6.434704,999,25.729957
-5.224396,999,26.41593
-5.605261,999,27.078195
-5.164257,999,27.720473
-5.480561,999,28.293358
-5.240285,999,28.95023
-5.328729,999,29.5546
-4.986172,999,30.131103
-5.044198,999,30.750813
-5.276316,999,31.343769
-5.496961,999,31.971774
-5.632268,999,33.05784
-5.175342,999,34.027305
-5.337586,999,34.688813
-5.256529,999,35.272984
-5.302432,999,35.847611
-5.461261,999,36.512629
-4.902871,999,37.105973
-5.691565,999,37.679827
-4.977574,999,38.25608
-5.37351,999,38.859226
-5.209473,999,39.492448
-5.120303,999,40.119353
-5.566143,999,40.797293
-5.419909,999,41.416159
-5.550806,999,42.05135
-5.989056,999,42.671888
-5.60463,999,43.407106
-5.325464,999,44.084702
-5.289037,999,44.673317
-5.127684,999,45.536085
-4.863502,999,46.205307
-5.273422,999,46.89915
-5.399607,999,47.551872
-5.125511,999,48.269659
-5.103989,999,48.982761
-5.234683,999,49.706919
-5.441098,999,50.407536
-5.052247,999,51.064364
-5.031354,999,51.682722
-5.455029,999,52.29027
-5.604402,999,52.915006
-5.592195,999,53.530805
-5.61902,999,54.137496
-5.328761,999,54.769533
-5.052695,999,55.372885
-5.236899,999,55.973103
-5.120196,999,56.585937
-4.981407,999,57.169373
-5.061317,999,57.774802
-5.283707,999,58.354681
-5.070957,999,58.980916
-5.004779,999,59.558593
-5.187994,999,60.149252
-5.100551,999,60.89989
-5.008145,999,61.871698
-4.872756,999,62.841831
-4.99142,999,63.92505
-5.497123,999,64.774508
-5.676438,999,66.19284
-5.14959,999,68.058987
-5.305616,999,69.133908
-4.916931,999,69.90731
-5.192458,999,70.676057
